ID,Label
0,8
1,5
2,5
3,15
4,8
5,11
6,5
7,5
8,5
9,8
10,5
11,5
12,8
13,5
14,17
15,8
16,2
17,5
18,11
19,5
20,15
21,5
22,8
23,2
24,8
25,11
26,11
27,8
28,8
29,8
30,5
31,5
32,5
33,2
34,15
35,8
36,11
37,5
38,5
39,8
40,2
41,5
42,8
43,5
44,8
45,8
46,11
47,8
48,8
49,11
50,8
51,11
52,5
53,11
54,5
55,5
56,5
57,11
58,15
59,8
60,11
61,2
62,2
63,5
64,8
65,8
66,8
67,8
68,5
69,8
70,5
71,5
72,15
73,8
74,8
75,8
76,15
77,5
78,5
79,8
80,11
81,5
82,5
83,8
84,2
85,11
86,11
87,5
88,2
89,8
90,5
91,8
92,15
93,11
94,2
95,15
96,2
97,5
98,8
99,8
100,8
101,8
102,8
103,5
104,8
105,11
106,15
107,8
108,5
109,2
110,5
111,5
112,15
113,8
114,8
115,5
116,5
117,8
118,2
119,5
120,11
121,8
122,5
123,8
124,15
125,2
126,5
127,8
128,11
129,5
130,11
131,15
132,8
133,5
134,11
135,5
136,5
137,5
138,5
139,8
140,15
141,11
142,5
143,8
144,8
145,5
146,11
147,8
148,2
149,2
150,2
151,5
152,8
153,8
154,5
155,15
156,5
157,2
158,8
159,8
160,8
161,11
162,5
163,5
164,15
165,5
166,8
167,15
168,11
169,8
170,8
171,8
172,2
173,5
174,8
175,5
176,11
177,15
178,2
179,2
180,5
181,2
182,11
183,2
184,5
185,8
186,8
187,8
188,8
189,8
190,15
191,5
192,8
193,17
194,8
195,5
196,8
197,8
198,5
199,5
200,8
201,8
202,15
203,2
204,15
205,5
206,8
207,8
208,8
209,5
210,8
211,8
212,11
213,5
214,11
215,8
216,11
217,11
218,15
219,8
220,11
221,15
222,11
223,5
224,2
225,8
226,5
227,11
228,5
229,11
230,8
231,5
232,5
233,5
234,5
235,5
236,8
237,5
238,15
239,2
240,5
241,11
242,8
243,8
244,5
245,8
246,2
247,11
248,11
249,2
250,5
251,11
252,8
253,8
254,11
255,5
256,5
257,8
258,8
259,8
260,5
261,8
262,8
263,8
264,5
265,8
266,15
267,15
268,8
269,8
270,8
271,8
272,15
273,5
274,8
275,5
276,8
277,5
278,11
279,8
280,8
281,2
282,8
283,5
284,8
285,5
286,8
287,5
288,5
289,11
290,5
291,5
292,11
293,2
294,5
295,2
296,8
297,8
298,11
299,2
300,15
301,8
302,8
303,5
304,11
305,5
306,11
307,15
308,5
309,15
310,15
311,11
312,8
313,8
314,8
315,8
316,8
317,11
318,8
319,5
320,8
321,11
322,8
323,5
324,5
325,15
326,5
327,2
328,11
329,15
330,8
331,5
332,8
333,5
334,11
335,5
336,15
337,8
338,2
339,8
340,8
341,11
342,11
343,8
344,5
345,8
346,8
347,11
348,8
349,5
350,8
351,15
352,8
353,15
354,15
355,8
356,11
357,15
358,8
359,5
360,8
361,11
362,11
363,5
364,5
365,11
366,5
367,15
368,8
369,11
370,11
371,8
372,8
373,8
374,11
375,15
376,8
377,11
378,5
379,5
380,8
381,5
382,11
383,5
384,5
385,15
386,15
387,15
388,5
389,2
390,5
391,15
392,5
393,2
394,8
395,2
396,8
397,2
398,5
399,8
400,5
401,2
402,5
403,8
404,5
405,2
406,5
407,8
408,8
409,8
410,5
411,8
412,8
413,15
414,11
415,11
416,15
417,8
418,11
419,8
420,15
421,11
422,15
423,5
424,2
425,8
426,8
427,5
428,8
429,11
430,8
431,11
432,5
433,8
434,8
435,2
436,11
437,2
438,2
439,5
440,15
441,5
442,11
443,8
444,5
445,8
446,15
447,8
448,15
449,5
450,5
451,11
452,5
453,8
454,5
455,11
456,5
457,5
458,8
459,2
460,15
461,8
462,8
463,5
464,15
465,8
466,8
467,8
468,15
469,8
470,11
471,11
472,5
473,8
474,11
475,8
476,8
477,5
478,8
479,11
480,5
481,5
482,11
483,5
484,15
485,5
486,8
487,5
488,8
489,8
490,5
491,15
492,11
493,8
494,8
495,5
496,2
497,5
498,11
499,11
500,5
501,11
502,15
503,11
504,2
505,5
506,5
507,5
508,8
509,5
510,8
511,8
512,15
513,5
514,8
515,8
516,5
517,8
518,8
519,5
520,8
521,15
522,5
523,5
524,8
525,8
526,5
527,15
528,8
529,11
530,11
531,5
532,11
533,15
534,8
535,8
536,8
537,8
538,8
539,5
540,5
541,11
542,8
543,11
544,11
545,5
546,15
547,11
548,15
549,11
550,5
551,8
552,11
553,15
554,11
555,5
556,8
557,8
558,2
559,15
560,8
561,15
562,8
563,8
564,5
565,5
566,2
567,15
568,8
569,8
570,8
571,11
572,8
573,15
574,5
575,5
576,8
577,11
578,11
579,8
580,5
581,5
582,11
583,5
584,2
585,11
586,5
587,15
588,2
589,8
590,15
591,2
592,8
593,5
594,8
595,15
596,15
597,11
598,8
599,5
600,15
601,5
602,11
603,5
604,5
605,5
606,8
607,8
608,5
609,8
610,2
611,5
612,8
613,8
614,5
615,8
616,2
617,5
618,5
619,5
620,8
621,2
622,8
623,11
624,5
625,8
626,8
627,8
628,11
629,8
630,8
631,8
632,8
633,5
634,5
635,11
636,5
637,5
638,8
639,15
640,8
641,8
642,8
643,5
644,2
645,8
646,5
647,5
648,5
649,5
650,8
651,15
652,5
653,15
654,8
655,2
656,5
657,15
658,8
659,5
660,15
661,8
662,8
663,11
664,2
665,8
666,11
667,5
668,2
669,5
670,8
671,11
672,15
673,5
674,2
675,15
676,5
677,8
678,11
679,8
680,5
681,8
682,8
683,8
684,8
685,5
686,8
687,2
688,5
689,5
690,8
691,5
692,5
693,5
694,5
