ID,Label
0,8
1,8
2,5
3,15
4,8
5,11
6,5
7,5
8,5
9,8
10,5
11,5
12,11
13,5
14,17
15,8
16,2
17,5
18,11
19,5
20,15
21,5
22,8
23,2
24,8
25,11
26,11
27,2
28,8
29,8
30,5
31,5
32,5
33,8
34,11
35,8
36,8
37,5
38,5
39,8
40,2
41,5
42,8
43,5
44,8
45,8
46,11
47,8
48,8
49,11
50,8
51,8
52,5
53,11
54,5
55,5
56,5
57,11
58,11
59,8
60,11
61,5
62,8
63,5
64,8
65,8
66,5
67,8
68,5
69,8
70,5
71,5
72,11
73,8
74,8
75,8
76,15
77,5
78,5
79,8
80,11
81,5
82,5
83,8
84,2
85,11
86,11
87,5
88,8
89,8
90,5
91,8
92,11
93,11
94,8
95,11
96,2
97,5
98,8
99,8
100,8
101,8
102,8
103,5
104,8
105,8
106,11
107,8
108,5
109,8
110,5
111,2
112,15
113,8
114,8
115,5
116,5
117,8
118,2
119,8
120,11
121,11
122,5
123,8
124,11
125,2
126,5
127,8
128,11
129,5
130,11
131,11
132,8
133,5
134,11
135,5
136,5
137,5
138,5
139,8
140,11
141,11
142,5
143,11
144,8
145,5
146,11
147,8
148,2
149,2
150,8
151,5
152,8
153,8
154,5
155,15
156,5
157,2
158,8
159,8
160,8
161,11
162,5
163,5
164,15
165,2
166,8
167,15
168,11
169,8
170,8
171,8
172,2
173,5
174,8
175,5
176,11
177,11
178,8
179,2
180,5
181,5
182,11
183,8
184,5
185,8
186,8
187,8
188,8
189,8
190,15
191,5
192,8
193,15
194,8
195,2
196,8
197,8
198,5
199,5
200,8
201,8
202,11
203,8
204,11
205,5
206,8
207,8
208,8
209,5
210,8
211,8
212,11
213,5
214,8
215,8
216,11
217,8
218,11
219,8
220,11
221,15
222,11
223,5
224,8
225,8
226,5
227,11
228,5
229,8
230,8
231,5
232,5
233,5
234,8
235,5
236,8
237,5
238,15
239,2
240,5
241,11
242,8
243,8
244,2
245,8
246,8
247,8
248,11
249,2
250,5
251,11
252,8
253,8
254,11
255,5
256,2
257,8
258,8
259,8
260,5
261,8
262,8
263,8
264,8
265,8
266,15
267,11
268,2
269,8
270,8
271,8
272,11
273,5
274,8
275,5
276,8
277,5
278,11
279,8
280,8
281,5
282,8
283,2
284,8
285,2
286,8
287,5
288,5
289,11
290,5
291,5
292,11
293,8
294,5
295,5
296,8
297,11
298,8
299,5
300,11
301,8
302,8
303,5
304,8
305,5
306,11
307,15
308,8
309,11
310,15
311,8
312,8
313,8
314,8
315,8
316,8
317,11
318,8
319,8
320,2
321,11
322,8
323,5
324,5
325,11
326,17
327,2
328,11
329,11
330,8
331,5
332,2
333,5
334,11
335,5
336,15
337,8
338,2
339,8
340,8
341,11
